指标名称,activity,time,request,death,size,feedback,issue,quality,act_final,health
kubevirt_kubevirt,7.17,5.63,6.87,0.66,3.0,4.41,6.13,9.47,6.47,6.89
laravel_framework,2.35,5.82,8.21,0.0,3.0,4.95,4.29,3.46,5.46,4.52
leanprover-community_mathlib,10.0,8.07,3.16,1.16,3.0,2.9,5.25,8.42,6.92,6.23
LeetCode-Feedback_LeetCode-Feedback,1.21,2.17,1.82,0.0,3.0,2.65,6.24,1.41,1.73,2.72
lensapp_lens,3.12,4.55,6.99,2.31,3.0,10.0,7.97,5.38,4.58,6.58
Lightning-AI_lightning,6.49,7.58,6.79,0.61,3.0,10.0,6.76,9.31,6.87,8.21
llvm_llvm-project,5.24,10.0,4.37,6.98,3.0,10.0,6.54,2.19,5.61,5.65
logseq_logseq,2.12,6.71,8.1,0.29,3.0,10.0,8.28,3.85,5.6,6.49
macports_macports-ports,10.0,7.73,8.22,0.13,3.0,2.85,0.0,3.8,8.63,4.3
magento_magento2,2.26,6.25,2.67,0.0,3.0,2.71,6.09,3.34,3.73,3.88
MarlinFirmware_Marlin,2.0,7.72,6.55,0.0,3.0,6.17,5.88,2.71,5.42,4.85
mastodon_mastodon,1.96,6.85,5.55,7.26,4.0,10.0,7.67,3.34,3.82,5.68
matplotlib_matplotlib,4.09,7.09,5.78,0.0,3.0,6.62,6.58,5.23,5.65,5.9
matrix-org_synapse,6.51,4.13,7.76,1.72,3.0,7.81,6.93,7.49,5.9,6.97
mattermost_mattermost-webapp,10.0,5.57,6.66,0.0,3.0,5.38,0.0,5.86,7.41,5.06
mdn_content,4.27,8.48,9.9,0.97,3.0,10.0,6.99,3.44,7.42,6.66
mdn_translated-content,7.53,6.43,5.78,1.07,3.0,8.73,7.03,3.53,6.44,6.14
metabase_metabase,3.41,5.92,5.7,0.0,3.0,8.02,7.35,4.93,5.01,6.06
MetaMask_eth-phishing-detect,0.99,3.03,8.15,4.41,3.0,3.49,10.0,3.54,3.47,4.8
MetaMask_metamask-extension,4.65,5.01,6.85,0.99,3.0,4.42,7.17,5.77,5.37,5.66
metersphere_metersphere,3.0,4.07,10.0,0.0,3.0,10.0,8.36,3.46,5.69,6.42
microsoft_azuredatastudio,6.01,4.55,9.18,0.0,3.0,3.76,8.07,5.42,6.58,5.97
microsoft_fluentui,5.66,5.38,8.23,0.12,3.0,5.08,6.93,7.26,6.41,6.5
microsoft_onnxruntime,10.0,6.44,5.99,0.0,3.0,4.65,6.27,8.45,7.48,6.96
microsoft_playwright,2.44,7.61,9.79,0.0,3.0,10.0,6.77,4.2,6.61,6.6
microsoft_PowerToys,1.64,7.97,8.58,0.64,4.0,10.0,7.46,5.92,5.98,7.06
microsoft_terminal,1.32,5.81,6.32,3.09,3.0,10.0,6.86,10.0,4.07,7.59
microsoft_TypeScript,1.6,7.28,5.37,0.0,3.0,6.37,7.11,6.29,4.75,6.01
microsoft_vcpkg,3.45,6.47,6.54,0.0,3.0,5.1,7.04,5.68,5.49,5.78
microsoft_vscode,0.92,8.81,5.41,0.0,4.0,4.09,7.77,3.16,5.05,4.83
microsoft_vscode-jupyter,1.96,4.05,9.23,0.0,3.0,2.19,7.88,4.37,5.08,4.85
microsoft_winget-pkgs,10.0,6.15,8.98,0.0,3.0,5.88,5.89,3.66,8.38,5.97
microsoft_WSL,1.71,6.29,7.65,0.0,4.0,2.62,6.53,2.02,5.22,4.0
MicrosoftDocs_azure-docs,2.2,6.81,6.87,0.39,4.0,2.6,4.69,3.14,5.24,3.97
MicrosoftDocs_microsoft-365-docs,3.64,4.8,7.68,2.7,3.0,2.82,5.5,3.73,5.01,4.29
MicrosoftDocs_msteams-docs,4.18,3.96,9.21,1.21,3.0,1.83,5.7,4.17,5.62,4.44
microsoftgraph_microsoft-graph-docs,5.68,4.8,7.46,1.91,3.0,2.48,7.06,6.73,5.73,5.65
mlflow_mlflow,4.54,5.52,5.26,0.0,3.0,10.0,6.53,8.71,5.11,7.45
mozilla-mobile_fenix,3.76,7.07,6.96,2.13,3.0,6.36,9.92,4.69,5.65,6.36
mrdoob_three.js,3.11,8.63,6.13,0.0,3.0,10.0,5.86,3.55,5.96,6.02
mui_material-ui,2.74,6.51,8.36,0.1,3.0,10.0,6.96,4.87,5.86,6.61
mui_mui-x,4.57,3.35,9.05,0.91,3.0,4.19,6.88,6.28,5.54,5.76
neovim_neovim,2.79,8.18,4.69,0.0,3.0,10.0,6.67,6.3,5.22,6.79
newrelic_docs-website,9.78,5.12,9.23,1.25,3.0,3.68,6.63,3.54,7.88,5.49
nextcloud_desktop,2.03,4.38,7.14,0.15,3.0,2.2,7.03,5.78,4.5,4.93
nextcloud_server,2.11,6.24,6.15,0.0,3.0,3.66,6.89,3.78,4.83,4.69
NixOS_nixpkgs,8.14,10.0,5.36,0.0,4.0,2.11,6.52,4.35,7.83,5.38
nodejs_node,1.79,9.54,5.44,0.0,3.0,10.0,5.47,1.64,5.59,5.26
nrfconnect_sdk-nrf,8.97,4.19,6.67,0.0,3.0,2.2,0.0,10.0,6.61,5.42
nrwl_nx,1.83,5.18,7.39,1.03,3.0,4.83,7.61,3.93,4.66,5.07
nuxt_framework,2.54,5.07,7.81,1.11,3.0,7.15,6.94,3.86,4.99,5.47
o3de_o3de,8.83,5.68,7.95,0.0,3.0,8.43,8.13,8.76,7.49,8.19
obsproject_obs-studio,3.3,7.25,4.67,3.03,3.0,10.0,5.96,4.5,4.67,5.94
odoo_odoo,6.67,5.88,1.81,0.0,3.0,5.61,6.7,3.07,4.79,4.82
open-mmlab_mmdetection,2.0,5.26,5.99,0.18,3.0,10.0,7.1,7.32,4.39,6.93
open-telemetry_opentelemetry-collector-contrib,6.79,2.24,8.29,2.22,3.0,3.54,6.75,4.93,5.48,5.18
OpenAPITools_openapi-generator,3.3,6.67,4.32,0.0,3.0,6.08,7.08,4.59,4.76,5.44
opencv_opencv,3.25,7.83,5.26,0.0,3.0,10.0,7.3,6.1,5.45,6.92
openhab_openhab-addons,4.54,5.01,6.3,0.51,3.0,3.3,6.4,10.0,5.22,6.51
openjdk_jdk,8.54,8.12,1.72,1.09,3.0,10.0,0.0,6.01,5.98,5.6
openjournals_joss-reviews,1.75,4.96,6.98,0.48,3.0,1.44,3.71,2.59,4.5,3.16
openshift_openshift-docs,6.5,4.76,6.61,0.4,3.0,1.49,6.32,5.86,5.9,5.09
openshift_release,8.37,6.83,7.82,2.6,3.0,2.05,4.66,3.98,7.33,4.73
openssl_openssl,6.34,6.67,2.26,0.0,3.0,9.81,6.46,8.74,5.09,7.4
openvinotoolkit_openvino,5.72,5.41,4.04,0.19,3.0,5.16,5.05,8.17,5.03,6.0
openwrt_openwrt,5.58,6.15,2.24,1.69,3.0,10.0,6.37,6.05,4.43,6.42
oppia_oppia,9.34,7.09,6.04,0.0,3.0,5.41,6.48,10.0,7.49,7.62
PaddlePaddle_Paddle,5.27,4.61,3.6,0.0,3.0,4.26,6.57,5.48,4.49,5.16
PaddlePaddle_PaddleOCR,2.36,3.4,7.35,0.0,3.0,10.0,7.06,3.95,4.37,5.91
pandas-dev_pandas,3.92,7.19,6.15,0.0,3.0,7.04,6.74,8.35,5.75,6.99
php_php-src,6.34,6.52,2.04,0.0,3.0,10.0,5.14,4.45,4.97,5.85
pingcap_tidb,9.6,5.87,8.13,0.88,3.0,10.0,6.52,6.39,7.75,7.55
PixelExperience_android-issues,1.35,4.37,8.33,0.42,3.0,2.36,6.7,0.0,4.63,3.2
postmanlabs_postman-app-support,1.73,4.68,6.65,0.0,3.0,1.97,7.38,0.99,4.35,3.47
PowerShell_PowerShell,2.68,5.85,5.92,0.0,3.0,9.83,6.75,8.86,4.82,7.42
ppy_osu,4.09,6.05,7.07,1.46,3.0,9.69,6.67,5.61,5.54,6.62
PrestaShop_PrestaShop,5.72,4.15,5.28,0.0,3.0,4.97,6.45,6.72,5.05,5.82
prisma_prisma,2.01,5.98,6.82,0.22,3.0,8.11,7.69,4.23,4.91,5.9
project-chip_connectedhomeip,10.0,6.79,8.71,0.0,3.0,6.21,6.88,6.64,8.5,7.16
prusa3d_PrusaSlicer,1.58,4.96,2.71,0.82,3.0,3.27,7.3,1.93,2.97,3.58
python_cpython,6.36,9.2,4.46,0.0,3.0,10.0,6.05,4.05,6.67,6.43
pytorch_pytorch,7.29,7.96,2.87,0.0,4.0,7.54,6.75,5.78,6.04,6.4
qbittorrent_qBittorrent,1.42,6.92,6.89,0.0,3.0,3.95,7.05,10.0,5.08,6.72
qgis_QGIS,7.19,6.42,7.15,0.2,3.0,4.02,6.57,4.76,6.89,5.61
qmk_qmk-firmware,5.66,5.95,6.79,1.11,3.0,10.0,6.06,7.52,5.99,7.26
quarkusio_quarkus,5.29,7.07,8.4,0.0,3.0,4.29,6.61,6.4,6.92,6.18
rails_rails,3.24,8.42,4.37,0.0,3.0,6.1,6.27,5.26,5.34,5.65
rancher_rancher,2.24,6.21,5.55,0.4,3.0,4.32,8.02,4.93,4.61,5.33
rapid7_metasploit-framework,5.71,6.0,6.05,0.0,3.0,10.0,6.67,7.79,5.92,7.45
ray-project_ray,7.15,7.8,6.99,1.54,3.0,10.0,6.84,8.25,7.11,7.98
raycast_extensions,4.65,6.35,7.66,0.0,3.0,4.65,6.18,4.89,6.22,5.5
redis_redis,2.33,6.68,2.91,0.0,3.0,10.0,6.91,6.59,3.97,6.55
Regalis11_Barotrauma,2.15,4.01,4.0,2.14,3.0,3.82,8.73,2.24,3.1,4.11
remix-run_remix,3.31,6.65,4.8,0.0,3.0,10.0,6.37,3.94,4.92,5.93
renovatebot_renovate,4.7,6.59,8.94,1.47,3.0,6.27,6.84,5.97,6.55,6.38
RocketChat_Rocket.Chat,2.22,6.36,5.07,0.11,3.0,8.27,7.41,4.81,4.54,5.94
RPCS3_rpcs3,2.42,6.49,8.59,1.11,3.0,5.8,6.43,5.22,5.69,5.72
rstudio_rstudio,1.87,4.4,9.47,3.33,3.0,7.73,7.09,4.91,4.8,5.88
ruffle-rs_ruffle,1.54,5.06,8.98,3.48,3.0,10.0,8.35,3.03,4.73,6.0
rust-lang_rust,5.47,10.0,6.98,0.0,4.0,5.42,6.48,6.26,7.48,6.5
scikit-learn_scikit-learn,4.74,7.5,4.72,0.0,3.0,10.0,6.15,10.0,5.65,7.93
scipy_scipy,4.27,7.11,5.8,0.0,3.0,4.98,6.64,9.03,5.73,6.75
section-engineering-education_engineering-education,6.85,4.91,6.36,4.55,3.0,10.0,5.68,7.69,5.43,7.07
SerenityOS_serenity,9.43,7.28,8.69,0.38,3.0,10.0,6.68,5.82,8.42,7.61
ShadowMario_FNF-PsychEngine,1.93,5.76,3.32,0.95,3.0,4.75,5.23,2.3,3.54,3.75
Skyrat-SS13_Skyrat-tg,9.44,5.13,8.32,0.61,3.0,2.08,6.41,3.99,7.55,5.16
solana-labs_solana,10.0,7.2,7.16,2.58,3.0,8.11,6.79,4.89,7.78,6.78
solana-labs_token-list,6.33,10.0,3.96,6.43,4.0,10.0,5.34,2.34,5.91,5.54
sourcegraph_sourcegraph,10.0,7.38,6.7,1.45,3.0,10.0,7.96,5.26,7.83,7.52
spack_spack,9.74,5.82,4.98,1.41,3.0,2.74,6.71,5.74,6.66,5.61
spyder-ide_spyder,1.38,5.16,7.04,0.1,3.0,3.45,6.75,6.17,4.51,5.24
storybookjs_storybook,1.88,7.96,6.08,0.47,3.0,10.0,6.87,4.17,5.24,6.2
strapi_strapi,1.98,6.2,7.17,3.08,3.0,10.0,6.55,4.89,4.71,6.19
sveltejs_kit,2.58,6.82,9.0,0.0,3.0,7.27,6.18,4.7,6.13,5.94
symfony_symfony,3.21,6.55,5.88,0.0,3.0,4.2,6.39,6.38,5.21,5.6
systemd_systemd,3.07,6.38,6.57,0.31,3.0,3.53,6.68,6.56,5.3,5.6
tachiyomiorg_tachiyomi,1.21,4.8,6.72,0.0,3.0,9.69,7.89,4.6,4.24,6.17
tachiyomiorg_tachiyomi-extensions,1.87,4.92,8.81,2.27,3.0,3.31,8.54,3.8,4.9,4.98
tailscale_tailscale,3.97,5.32,9.31,0.0,3.0,9.47,7.08,6.94,6.2,7.25
taosdata_TDengine,7.94,4.73,9.91,0.0,3.0,10.0,7.08,3.21,7.53,6.64
taozhiyu_TyProAction,1.4,5.59,4.44,2.0,4.0,10.0,7.89,0.58,3.54,4.81
TeamNewPipe_NewPipe,2.24,6.48,6.48,2.09,3.0,7.49,6.78,5.96,4.79,6.08
tensorflow_tensorflow,2.26,9.67,4.94,0.0,4.0,10.0,6.28,5.33,5.62,6.54
termux_termux-packages,1.92,5.6,7.09,0.43,3.0,5.43,7.14,3.34,4.81,4.96
tgstation_tgstation,6.23,8.79,8.12,0.0,3.0,2.12,6.54,4.7,7.71,5.46
TP-Lab_tokens,4.1,3.69,6.89,0.0,3.0,5.92,2.93,3.2,4.89,4.2
trinodb_trino,8.45,6.45,5.19,0.2,3.0,5.68,6.78,10.0,6.67,7.49
trustwallet_assets,2.97,7.05,5.63,0.91,4.0,9.44,2.76,2.26,5.1,4.65
type-challenges_type-challenges,2.45,6.93,8.53,0.32,3.0,10.0,10.0,3.65,5.93,6.87
uBlockOrigin_uAssets,2.06,6.97,8.04,0.95,3.0,2.71,4.65,2.32,5.56,3.84
Ultimaker_Cura,1.82,4.7,5.58,0.95,3.0,2.54,5.87,5.56,3.91,4.52
ultralytics_yolov5,1.34,8.25,6.73,0.29,3.0,10.0,7.02,3.03,5.4,5.93
unifyai_ivy,4.64,8.41,4.62,1.11,3.0,10.0,7.55,1.9,5.74,5.8
ValveSoftware_Dota2-Gameplay,1.34,6.31,2.15,0.0,4.0,2.39,8.48,0.3,3.27,3.24
ValveSoftware_Proton,1.67,8.54,4.04,0.0,3.0,3.04,6.02,2.29,4.75,3.92
vectordotdev_vector,10.0,5.62,7.47,0.0,3.0,10.0,7.1,7.0,7.7,7.83
vercel_next.js,1.31,9.29,6.2,0.0,4.0,10.0,6.74,4.39,5.6,6.34
vitejs_vite,1.71,9.38,5.29,0.28,3.0,10.0,6.94,4.78,5.42,6.45
void-linux_void-packages,7.67,7.13,4.55,0.0,3.0,2.74,6.51,3.35,6.45,4.79
webcompat_web-bugs,1.61,5.32,6.59,0.1,3.0,2.7,8.81,0.28,4.49,3.73
wjz304_Redpill-CustomBuild,1.77,8.27,7.3,1.11,4.0,3.68,7.68,0.42,5.63,4.09
woocommerce_woocommerce,1.9,5.32,5.78,0.0,3.0,4.13,6.43,4.14,4.33,4.65
WordPress_gutenberg,8.39,8.09,4.67,0.54,3.0,2.88,6.75,7.37,6.98,6.23
xamarin_xamarin-macios,6.87,5.85,9.8,0.95,3.0,5.55,6.4,4.6,7.38,5.98
xbmc_xbmc,6.72,7.37,6.59,0.0,3.0,6.34,5.24,5.15,6.89,5.93
yt-dlp_yt-dlp,2.62,8.03,5.73,0.33,3.0,10.0,6.22,9.76,5.42,7.8
yuzu-emu_yuzu,4.43,6.16,7.09,0.16,3.0,10.0,7.05,5.26,5.87,6.75
zephyrproject-rtos_zephyr,7.41,7.01,5.53,0.48,3.0,6.99,6.6,8.35,6.59,7.2
zero-to-mastery_start-here-guidelines,4.69,5.66,7.85,0.32,3.0,6.66,2.92,2.63,6.02,4.51
ziglang_zig,4.53,7.97,7.07,3.11,3.0,10.0,7.68,4.68,6.11,6.77
zulip_zulip,6.44,5.98,4.21,0.0,3.0,9.26,5.71,5.51,5.54,6.31
